,operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,numNodes,tasksPerNode,parallelism,totalTime_beegfs,totalTime_localssd,totalTime_nfs,totalTime_tmpfs,trMiB_beegfs,trMiB_localssd,trMiB_nfs,trMiB_tmpfs,trMiB_ave_beegfs,trMiB_ave_localssd,trMiB_ave_nfs,trMiB_ave_tmpfs,selectStorage
0,0.0,0.0,64.0,1024.0,2.0,1.0,2.0,2.0,7.910233333333333,,14.382966666666666,4.269333333333333,129.56393333333332,,71.36526666666667,239.85243333333332,182.0184833333333,,86.29778333333333,239.93623333333335,nfs
1,0.0,0.0,64.0,1024.0,2.0,2.0,1.0,2.0,4.367266666666667,9.918333333333333,10.1323,4.2665,234.47303333333332,103.32459999999999,101.2303,240.02003333333332,182.0184833333333,103.32459999999999,86.29778333333333,239.93623333333335,ave_nfs
2,0.0,0.0,64.0,1024.0,4.0,1.0,4.0,4.0,7.636533333333333,,12.0,2.1337333333333333,134.09186666666668,,85.33460000000001,479.92633333333333,354.6382555555556,,139.83363333333332,476.2205666666666,nfs
3,0.0,0.0,64.0,1024.0,4.0,2.0,2.0,4.0,2.2094333333333336,11.840200000000001,7.459333333333333,2.1483333333333334,463.4719666666667,86.70413333333333,137.27736666666667,476.6584666666667,354.6382555555556,147.05143333333334,139.83363333333332,476.2205666666666,localssd
4,0.0,0.0,64.0,1024.0,4.0,4.0,1.0,4.0,2.1957999999999998,4.937366666666667,5.2009,2.169233333333333,466.35093333333333,207.39873333333333,196.8889333333333,472.0769,354.6382555555556,147.05143333333334,139.83363333333332,476.2205666666666,ave_nfs
5,0.0,0.0,64.0,1024.0,8.0,1.0,8.0,8.0,7.752466666666667,,10.554033333333335,1.0726666666666667,132.08686666666665,,97.0246,954.6424999999999,713.6451083333333,,231.44975833333334,952.0198416666666,nfs
6,0.0,0.0,64.0,1024.0,8.0,2.0,4.0,8.0,1.1711333333333334,11.691966666666666,6.005933333333334,1.0675666666666668,874.3808666666667,87.66743333333334,170.4981,959.1987666666668,713.6451083333333,218.3613555555556,231.44975833333334,952.0198416666666,localssd
7,0.0,0.0,64.0,1024.0,8.0,4.0,2.0,8.0,1.1159666666666668,5.768233333333334,3.7484333333333333,1.0760333333333334,917.6149666666666,177.5801,273.1829666666667,951.7024666666666,713.6451083333333,218.3613555555556,231.44975833333334,952.0198416666666,localssd
8,0.0,0.0,64.0,1024.0,8.0,8.0,1.0,8.0,1.1005,2.6269666666666667,2.6593,1.0864666666666667,930.4977333333333,389.8365333333333,385.09336666666667,942.5356333333333,713.6451083333333,218.3613555555556,231.44975833333334,952.0198416666666,ave_localssd
9,0.0,0.0,64.0,1024.0,16.0,1.0,16.0,16.0,7.7815666666666665,,9.8151,0.5386333333333333,131.59923333333333,,104.32976666666667,1901.1750666666667,1379.4281466666669,,289.9467,1641.722806666666,nfs
10,0.0,0.0,64.0,1024.0,16.0,2.0,8.0,16.0,0.7351000000000001,9.535166666666667,5.280033333333333,0.5460333333333334,1393.7545666666665,107.40249999999999,193.93783333333332,1875.2588333333333,1379.4281466666669,340.8890166666667,289.9467,1641.722806666666,localssd
11,0.0,0.0,64.0,1024.0,16.0,4.0,4.0,16.0,0.5931666666666667,5.820533333333334,3.0252666666666665,0.5381999999999999,1730.1309,175.94356666666667,338.4875333333334,1902.6387666666667,1379.4281466666669,340.8890166666667,289.9467,1641.722806666666,localssd
12,0.0,0.0,64.0,1024.0,16.0,8.0,2.0,16.0,0.5649666666666667,3.3755666666666664,1.9588666666666665,0.5414,1812.7984333333334,303.4193666666667,523.0316666666666,1891.4648666666665,1379.4281466666669,340.8890166666667,289.9467,1641.722806666666,ave_nfs
13,0.0,0.0,64.0,1024.0,16.0,16.0,1.0,16.0,0.5599333333333334,1.3183,,1.6049333333333333,1828.8576,776.7906333333334,,638.0765,1379.4281466666669,340.8890166666667,,1641.722806666666,ave_localssd
14,0.0,0.0,64.0,1024.0,32.0,1.0,32.0,32.0,7.8039,,9.457366666666665,0.27973333333333333,131.21720000000002,,108.27633333333334,3666.962,2254.7380722222224,,501.94216666666665,3329.676850000001,nfs
15,0.0,0.0,64.0,1024.0,32.0,2.0,16.0,32.0,0.6904666666666666,9.460799999999999,4.9056,0.2739333333333333,1483.107,108.24543333333334,208.74213333333333,3739.2767333333336,2254.7380722222224,590.224,501.94216666666665,3329.676850000001,localssd
16,0.0,0.0,64.0,1024.0,32.0,4.0,8.0,32.0,0.34886666666666666,5.016033333333334,2.6590333333333334,0.27116666666666667,2983.135433333333,204.35606666666664,385.1060333333333,3776.319133333333,2254.7380722222224,590.224,501.94216666666665,3329.676850000001,localssd
17,0.0,0.0,64.0,1024.0,32.0,8.0,4.0,32.0,0.3340666666666667,2.687633333333333,1.5676666666666668,0.27086666666666664,3149.5811,389.26,653.2351333333332,3780.9512,2254.7380722222224,590.224,501.94216666666665,3329.676850000001,localssd
18,0.0,0.0,64.0,1024.0,32.0,16.0,2.0,32.0,0.3045333333333333,1.6895333333333333,,0.7959,3364.463366666667,606.1540666666666,,1286.6396000000002,2254.7380722222224,590.224,,3329.676850000001,ave_localssd
19,0.0,0.0,64.0,1024.0,32.0,32.0,1.0,32.0,0.4493666666666667,0.6232000000000001,0.8912999999999999,0.27466666666666667,2416.9243333333334,1643.1044333333332,1154.3512,3727.9124333333334,2254.7380722222224,590.224,501.94216666666665,3329.676850000001,ave_nfs
20,0.0,0.0,64.0,1024.0,64.0,1.0,64.0,64.0,7.841,,9.259766666666666,0.27099999999999996,130.5996,,110.58596666666666,3779.1965333333333,3571.930522222223,,531.36516,6012.623783333333,nfs
21,0.0,0.0,64.0,1024.0,64.0,2.0,32.0,64.0,0.9572666666666666,8.921100000000001,4.7301,0.14243333333333333,1071.849,114.8308,216.48633333333336,7199.5457,3571.930522222223,629.0410733333333,531.36516,6012.623783333333,localssd
22,0.0,0.0,64.0,1024.0,64.0,4.0,16.0,64.0,0.26433333333333336,4.615200000000001,2.4751,0.1351,4177.985266666667,221.96,413.71990000000005,7578.633033333334,3571.930522222223,629.0410733333333,531.36516,6012.623783333333,localssd
23,0.0,0.0,64.0,1024.0,64.0,8.0,8.0,64.0,0.2009,2.1696,1.3639666666666665,0.1375333333333333,5435.8042,472.3395666666667,750.779,7450.280433333333,3571.930522222223,629.0410733333333,531.36516,6012.623783333333,localssd
24,0.0,0.0,64.0,1024.0,64.0,16.0,4.0,64.0,0.16176666666666667,1.1402333333333334,,0.3998,6332.378233333333,900.0704666666667,,2561.4645,3571.930522222223,629.0410733333333,,6012.623783333333,ave_localssd
25,0.0,0.0,64.0,1024.0,64.0,32.0,2.0,64.0,0.2581333333333333,0.7132333333333333,0.8821666666666667,0.1364,4282.966833333333,1436.0045333333335,1165.2546,7506.6225,3571.930522222223,629.0410733333333,531.36516,6012.623783333333,ave_nfs
