operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_ssd_12p,estimated_ts_slope_ssd_12p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_beegfs_12p,estimated_ts_slope_beegfs_12p
1,1,6627.774212034384,33.08906364440918,48,48,0.146466496,[4],,,225.91558170688523,1,5235,run_idfeature,185767-dc001,pr_rlut_mean_sam_2016080104.nc,1,initial_data,,,24368.421335000727,0.002423957,55573.98349737225,0.002423957,3771.529676352521,0.002423957,7785.315470680218,0.002423957
0,1,5336.459516098304,26.713443756103516,48,48,0.129045458,[4],,,207.00801229364862,1,5249,run_idfeature,185763-dc001,cloudid_20160801_141500.nc,1,,,,1875.0327389865035,0.001187634,2767.796559182624,0.001187634,3770.332842,0.001187634,7783.273417290515,0.001187634
1,1,6632.008785332315,33.11652946472168,48,48,0.212965418,[4],,,155.5019109474463,1,5236,run_idfeature,185763-dc001,pr_rlut_mean_sam_2016080114.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.214328429,[4],,,154.5130042674912,1,5236,run_idfeature,101189-dc002,pr_rlut_mean_sam_2016080204.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5410.663555,27.08489704,48,48,0.115697909,[4],,,234.10014299671397,1,5249,run_idfeature,101189-dc002,cloudid_20160802_041500.nc,1,,,,1875.0283040282307,0.001258678,2767.791075684879,0.001258678,3770.401838883747,0.001258678,7783.391377,0.001258678
0,1,5446.673080586778,27.26515483856201,48,48,0.105255663,[4],,,259.0374148188303,1,5249,run_idfeature,187191-dc003,cloudid_20160802_231500.nc,1,,,,1875.0261518442526,0.001293154,2767.788414668638,0.001293154,3770.435321473332,0.001293154,7783.4486205276535,0.001293154
1,1,6632.008785332315,33.11652946472168,48,48,0.208520845,[4],,,158.81639777894472,1,5236,run_idfeature,187191-dc003,pr_rlut_mean_sam_2016080223.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5437.385216231663,27.218661308288574,48,48,0.108909369,[4],,,249.92029205759675,1,5249,run_idfeature,185766-dc001,cloudid_20160802_121500.nc,1,,,,1875.0267069527276,0.001284261,2767.789101019193,0.001284261,3770.4266853764957,0.001284261,7783.433855884947,0.001284261
1,1,6627.774212034384,33.08906364440918,48,48,0.250720413,[4],,,131.97594582938558,1,5235,run_idfeature,185766-dc001,pr_rlut_mean_sam_2016080212.nc,1,initial_data,,,24368.421335000727,0.002423957,55573.98349737225,0.002423957,3771.529676352521,0.002423957,7785.315470680218,0.002423957
0,1,3996.1076395503906,20.00386142730713,48,48,0.084037732,[4],,,238.03428473423256,1,5249,run_idfeature,101197-dc002,cloudid_20160801_031500.nc,1,,,,1647.551951031904,0.9674829555828094,2449.436244535217,0.9674829555828094,2889.0496439376047,0.9674829555828094,6255.287648749691,0.9674829555828094
1,1,6632.008785332315,33.11652946472168,48,48,0.19246599,[4],,,172.06431881664744,1,5236,run_idfeature,101197-dc002,pr_rlut_mean_sam_2016080103.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.153335185,[4],,,215.97475794431446,1,5236,run_idfeature,166669-dc004,pr_rlut_mean_sam_2016080106.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,4770.616117355687,23.880924224853516,48,48,0.091384085,[4],,,261.3247615802414,1,5249,run_idfeature,166669-dc004,cloudid_20160801_061500.nc,1,,,,1875.0665577907191,0.000645887,2767.8383736316578,0.000645887,3769.806706198802,0.000645887,7782.373912809073,0.000645887
1,1,6632.008785332315,33.11652946472168,48,48,0.1827052,[4],,,181.2566334440491,1,5236,run_idfeature,185765-dc001,pr_rlut_mean_sam_2016080115.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5330.582777671938,26.684025764465332,48,48,0.133533085,[4],,,199.83081918960633,1,5249,run_idfeature,185765-dc001,cloudid_20160801_151500.nc,1,,,,1875.0330902219632,0.001182007,2767.796993459281,0.001182007,3770.3273777029012,0.001182007,7783.264075213604,0.001182007
0,1,5375.184797104211,26.907296180725098,48,48,0.117903872,[4],,,228.21384679143614,1,5249,run_idfeature,187188-dc003,cloudid_20160801_211500.nc,1,,,,1875.0304244897727,0.00122471,2767.793697478675,0.00122471,3770.3688498157776,0.00122471,7783.334977722053,0.00122471
1,1,6632.008785332315,33.11652946472168,48,48,0.231237033,[4],,,143.21464444980003,1,5236,run_idfeature,187188-dc003,pr_rlut_mean_sam_2016080121.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5454.719756144027,27.305435180664062,48,48,0.110269026,[4],,,247.6256132040566,1,5249,run_idfeature,187183-dc003,cloudid_20160802_221500.nc,1,,,,1875.0256709180003,0.001300858,2767.7878200389123,0.001300858,3770.4428034806765,0.001300858,7783.461412089311,0.001300858
1,1,6632.008785332315,33.11652946472168,48,48,0.202962325,[4],,,163.16589527007872,1,5236,run_idfeature,187183-dc003,pr_rlut_mean_sam_2016080222.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.231261582,[4],,,143.19944185421028,1,5236,run_idfeature,187186-dc003,pr_rlut_mean_sam_2016080122.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5360.520480091446,26.83388900756836,48,48,0.109136999,[4],,,245.8734366295738,1,5249,run_idfeature,187186-dc003,cloudid_20160801_221500.nc,1,,,,1875.031300933091,0.00121067,2767.7947811359863,0.00121067,3770.3552145540084,0.00121067,7783.311666291895,0.00121067
0,1,5437.864545627739,27.221060752868652,48,48,0.106131086,[4],,,256.4852747560564,1,5249,run_idfeature,101191-dc002,cloudid_20160802_111500.nc,1,,,,1875.0266783046122,0.00128472,2767.7890655979177,0.00128472,3770.4271310693825,0.00128472,7783.434617860681,0.00128472
1,1,6632.008785332315,33.11652946472168,48,48,0.222863949,[4],,,148.59527354386813,1,5236,run_idfeature,101191-dc002,pr_rlut_mean_sam_2016080211.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5443.649457039436,27.250019073486328,48,48,0.086513519,[4],,,314.9798943386678,1,5249,run_idfeature,185759-dc001,cloudid_20160802_131500.nc,1,,,,1875.0263325573844,0.001290259,2767.7886381070543,0.001290259,3770.4325100298447,0.001290259,7783.443813962909,0.001290259
1,1,6632.008785332315,33.11652946472168,48,48,0.19696883,[4],,,168.1308127012872,1,5236,run_idfeature,185759-dc001,pr_rlut_mean_sam_2016080213.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,4276.380358163459,42.813721656799316,48,48,0.200276521,[4],,,213.77304460366233,1,10498,run_idfeature,101190-dc002,cloudid_20160801_011500.nc,1,,,,1874.3252792822075,0.000172699,2767.106207222484,0.000172699,3770.2817900442033,0.000172699,7784.179434399558,0.000172699
1,1,6878.920804836951,66.18636322021484,48,48,0.352152301,[4],,,187.94812083370383,1,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080101.nc,1,initial_data,,,24375.381478007614,0.002664408,55579.566282163425,0.002664408,3773.1533578567205,0.002664408,7789.568796066881,0.002664408
0,1,4276.380358163459,42.813721656799316,48,48,0.200276521,[4],,,213.77304460366233,1,10498,run_idfeature,101190-dc002,cloudid_20160801_131500.nc,1,,,,1874.3252792822075,0.000172699,2767.106207222484,0.000172699,3770.2817900442033,0.000172699,7784.179434399558,0.000172699
1,1,6878.920804836951,66.18636322021484,48,48,0.352152301,[4],,,187.94812083370383,1,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080113.nc,1,initial_data,,,24375.381478007614,0.002664408,55579.566282163425,0.002664408,3773.1533578567205,0.002664408,7789.568796066881,0.002664408
0,1,5425.9679939036005,27.161508560180664,48,48,0.10742284,[4],,,252.8466810240789,1,5249,run_idfeature,166671-dc004,cloudid_20160802_051500.nc,1,,,,1875.027389326698,0.00127333,2767.7899447241152,0.00127333,3770.416069347465,0.00127333,7783.4157062649765,0.00127333
1,1,6632.008785332315,33.11652946472168,48,48,0.1809914,[4],,,182.97294492844236,1,5236,run_idfeature,166671-dc004,pr_rlut_mean_sam_2016080205.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6627.774212034384,33.08906364440918,48,48,0.196920381,[4],,,168.03270172633466,1,5235,run_idfeature,185758-dc001,pr_rlut_mean_sam_2016080202.nc,1,initial_data,,,24368.421335000727,0.002423957,55573.98349737225,0.002423957,3771.529676352521,0.002423957,7785.315470680218,0.002423957
0,1,5401.479329396076,27.03892230987549,48,48,0.127904853,[4],,,211.39872081222347,1,5249,run_idfeature,185758-dc001,cloudid_20160802_021500.nc,1,,,,1875.0288529425188,0.001249884,2767.791754,0.001249884,3770.393299152941,0.001249884,7783.376777360763,0.001249884
0,1,5429.289959992379,27.17813777923584,48,48,0.09039926,[4],,,300.6455780637567,1,5249,run_idfeature,101195-dc002,cloudid_20160801_201500.nc,1,,,,1875.0271907825054,0.001276511,2767.7896992389124,0.001276511,3770.4191581975747,0.001276511,7783.420987096017,0.001276511
1,1,6632.008785332315,33.11652946472168,48,48,0.244579773,[4],,,135.4017507601566,1,5236,run_idfeature,101195-dc002,pr_rlut_mean_sam_2016080120.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5482.369975233378,27.44384766,48,48,0.12539132,[4],,,218.86560932806194,1,5249,run_idfeature,166666-dc004,cloudid_20160802_101500.nc,1,,,,1875.0240183453132,0.00132733,2767.785776755065,0.00132733,3770.468513370537,0.00132733,7783.505366823147,0.00132733
1,1,6632.008785332315,33.11652946472168,48,48,0.179635601,[4],,,184.35393251876437,1,5236,run_idfeature,166666-dc004,pr_rlut_mean_sam_2016080210.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5448.753857877691,27.27557087,48,48,0.113215648,[4],,,240.91696997084537,1,5249,run_idfeature,166667-dc004,cloudid_20160802_091500.nc,1,,,,1875.0260274822826,0.001295146,2767.7882609042645,0.001295146,3770.4372562339495,0.001295146,7783.4519282776455,0.001295146
1,1,6632.008785332315,33.11652946472168,48,48,0.201240113,[4],,,164.56226828257485,1,5236,run_idfeature,166667-dc004,pr_rlut_mean_sam_2016080209.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,4931.208420651553,24.684823036193848,48,48,0.114772915,[4],,,215.07533407332076,1,5249,run_idfeature,101193-dc002,cloudid_20160801_071500.nc,1,,,,1875.0569596586638,0.00079964,2767.826506251573,0.00079964,3769.956029081805,0.00079964,7782.629201634251,0.00079964
1,1,6632.008785332315,33.11652946472168,48,48,0.225336853,[4],,,146.96455117672954,1,5236,run_idfeature,101193-dc002,pr_rlut_mean_sam_2016080107.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5458.708515907792,27.32540225982666,48,48,0.099119285,[4],,,275.68199528302347,1,5249,run_idfeature,101196-dc002,cloudid_20160802_171500.nc,1,,,,1875.0254325215005,0.001304677,2767.787525,0.001304677,3770.446512332815,0.001304677,7783.467752902497,0.001304677
1,1,6632.008785332315,33.11652946472168,48,48,0.260941635,[4],,,126.91163472138771,1,5236,run_idfeature,101196-dc002,pr_rlut_mean_sam_2016080217.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.211033032,[4],,,156.92580991169987,1,5236,run_idfeature,166673-dc004,pr_rlut_mean_sam_2016080118.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5498.886645075252,27.526527404785156,48,48,0.134676059,[4],,,204.39065123508817,1,5249,run_idfeature,166673-dc004,cloudid_20160801_181500.nc,1,,,,1875.0230311922865,0.001343144,2767.7845562133903,0.001343144,3770.483870997943,0.001343144,7783.531622883701,0.001343144
1,1,6632.008785332315,33.11652946472168,48,48,0.22036215,[4],,,150.28229423574638,1,5236,run_idfeature,187190-dc003,pr_rlut_mean_sam_2016080119.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5631.422747189941,28.18998146057129,48,48,0.117910133,[4],,,239.08022782546848,1,5249,run_idfeature,187190-dc003,cloudid_20160801_191500.nc,1,,,,1875.01511,0.001470036,2767.774762118241,0.001470036,3770.607106498422,0.001470036,7783.742311597344,0.001470036
0,1,5111.4021718422555,25.586843490600586,48,48,0.113926465,[4],,,224.59086649094735,1,5249,run_idfeature,166676-dc004,cloudid_20160801_091500.nc,1,,,,1875.0461900054243,0.00097216,2767.813190372229,0.00097216,3770.1235778987448,0.00097216,7782.915650300232,0.00097216
1,1,6632.008785332315,33.11652946472168,48,48,0.173315838,[4],,,191.07618695944961,1,5236,run_idfeature,166676-dc004,pr_rlut_mean_sam_2016080109.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.493218720153,33.11262321472168,48,48,0.203170817,[4],,,162.97922951563305,1,5235,run_idfeature,101194-dc002,pr_rlut_mean_sam_2016080221.nc,1,initial_data,,,24368.44015652174,0.002428475,55574.01130849083,0.002428475,3771.5340614562997,0.002428475,7785.322964718787,0.002428475
0,1,5501.445799199848,27.53933811187744,48,48,0.123731691,[4],,,222.57303597246917,1,5249,run_idfeature,101194-dc002,cloudid_20160802_211500.nc,1,,,,1875.0228782391328,0.001345594,2767.7843670981338,0.001345594,3770.486250565731,0.001345594,7783.535691095168,0.001345594
0,1,5365.741093541627,26.86002254486084,48,48,0.124128858,[4],,,216.38821928790193,1,5249,run_idfeature,166670-dc004,cloudid_20160802_011500.nc,1,,,,1875.0309889123014,0.001215668,2767.794395345368,0.001215668,3770.360069,0.001215668,7783.319965346377,0.001215668
