operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,tokenizer_config.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,merges.txt,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,vocab.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,generation_config.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,tokenizer.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,config.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,special_tokens_map.json,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,3361637.6240601502,426.38569259643555,1,1,0.1397535,[1],1,,3050.9840010907456,1,133,inference,229798-a100-06,model.safetensors,2,final_data,,,2176.2610982763167,0.7353024877103648,6770.001653012387,0.7353024877103648
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,model.safetensors,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,merges.txt,1,final_data,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,tokenizer_config.json,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,optimizer.pt,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,scheduler.pt,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,vocab.json,1,final_data,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,special_tokens_map.json,1,final_data,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,default_experiment-1-0.arrow,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,tokenizer.json,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
0,0,4017812.461340206,2973.387212753296,1,1,0.937724189,[1],1,,3170.8547647940604,1,776,finetune,3916-dc284,config.json,1,,,,2096.9959901613374,0.9438948508390447,7222.191811127535,0.9438948508390447
1,0,236044.42307692306,5.852847099304199,1,1,0.001362384,[1],1,,4296.033349851584,1,26,inference,229798-a100-06,tokenizer.json,2,finetune,,,25064.02535938067,0.22207071755986046,3933.517228552849,0.22207071755986046
1,1,236044.42307692306,5.852847099304199,1,1,0.001362384,[1],1,,4296.033349851584,1,26,inference,229798-a100-06,paper.pdf,2,initial_data,,,25064.02535938067,0.22207071755986046,3933.517228552849,0.22207071755986046
