operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_16p,estimated_ts_slope_ssd_16p,estimated_trMiB_beegfs_16p,estimated_ts_slope_beegfs_16p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
1,0,477.4,0.004552841,16,16,4.1439e-05,[1],1,16,109.86851001528602,1,10,mDiffFit,149495-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.525e-05,[1],1,16,100.61527484029696,1,10,mDiffFit,149245-dc284,pposs2ukstu_blue_002_004.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.525e-05,[1],1,16,100.61527484029696,1,10,mDiffFit,149245-dc284,pposs2ukstu_blue_002_001_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.525e-05,[1],1,16,100.61527484029696,1,10,mDiffFit,149245-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.525e-05,[1],1,16,100.61527484029696,1,10,mDiffFit,149245-dc284,pposs2ukstu_blue_002_001.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.525e-05,[1],1,16,100.61527484029696,1,10,mDiffFit,149245-dc284,pposs2ukstu_blue_002_004_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,0.2599025824832276,0.008090973,16,16,0.037791911,[1],1,16,0.2140927168353732,1,32643,mDiffFit,149723-dc284,pposs2ukstu_blue_003_002.fits,2,mProject,,,21494.21291950925,36.88487819126158,4817.460371471127,5.667179516,,,,
1,0,0.2599025824832276,0.008090973,16,16,0.037791911,[1],1,16,0.2140927168353732,1,32643,mDiffFit,149723-dc284,pposs2ukstu_blue_003_002_area.fits,2,mProject,,,21494.21291950925,36.88487819126158,4817.460371471127,5.667179516,,,,
1,0,0.9153090948322364,0.008090973,16,16,0.012006094,[1],1,16,0.6739055100177147,1,9269,mDiffFit,149568-dc284,1-diff.000008.000012.fits,2,mProject,,,21500.256566852688,36.88487819126158,4818.388948061409,5.667179516,,,,
0,0,0.954975236,0.008090973,16,16,0.017092507,[1],1,16,0.4733637318616061,1,8884,mDiffFit,149723-dc284,1-diff.000010.000014.fits,2,mProject,,,1443.1244867297473,1.8310745949074072,4818.445146847619,5.667179516,,,,
1,0,0.2599025824832276,0.008090973,16,16,0.037791911,[1],1,16,0.2140927168353732,1,32643,mDiffFit,149723-dc284,pposs2ukstu_blue_004_002_area.fits,2,mProject,,,21494.21291950925,36.88487819126158,4817.460371471127,5.667179516,,,,
1,0,0.9153090948322364,0.008090973,16,16,0.012006094,[1],1,16,0.6739055100177147,1,9269,mDiffFit,149568-dc284,1-diff.000008.000012_area.fits,2,mProject,,,21500.256566852688,36.88487819126158,4818.388948061409,5.667179516,,,,
0,0,0.954975236,0.008090973,16,16,0.017092507,[1],1,16,0.4733637318616061,1,8884,mDiffFit,149723-dc284,1-diff.000010.000014_area.fits,2,mProject,,,1443.1244867297473,1.8310745949074072,4818.445146847619,5.667179516,,,,
1,0,0.2599025824832276,0.008090973,16,16,0.037791911,[1],1,16,0.2140927168353732,1,32643,mDiffFit,149723-dc284,pposs2ukstu_blue_004_002.fits,2,mProject,,,21494.21291950925,36.88487819126158,4817.460371471127,5.667179516,,,,
1,0,0.2599025824832276,0.008090973,16,16,0.037791911,[1],1,16,0.2140927168353732,1,32643,mDiffFit,149723-dc284,region-oversized.hdr,2,mProject,,,21494.21291950925,36.88487819126158,4817.460371471127,5.667179516,,,,
1,0,2.169820971867008,0.008090973,16,16,0.014028448,[1],1,16,0.5767546702522349,1,3910,mDiffFit,149621-dc284,1-diff.000009.000010.fits,2,mProject,,,21511.824696296168,36.88487819126158,4820.166334064289,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,1-diff.000009.000013.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.9339498018494056,0.008090973,16,16,0.009635935,[1],1,16,0.8396666125695768,1,9084,mDiffFit,149146-dc284,region-oversized.hdr,2,mProject,,,21500.42845690462,36.88487819126158,4818.415358,5.667179516,,,,
0,0,3.1492204899777283,0.008090973,16,16,0.005191366,[1],1,16,1.5585441096602752,1,2694,mDiffFit,149146-dc284,1-diff.000004.000008_area.fits,2,mProject,,,1444.128943414462,1.8310745949074072,4821.553942285927,5.667179516,,,,
1,0,0.9339498018494056,0.008090973,16,16,0.009635935,[1],1,16,0.8396666125695768,1,9084,mDiffFit,149146-dc284,pposs2ukstu_blue_002_004_area.fits,2,mProject,,,21500.42845690462,36.88487819126158,4818.415358,5.667179516,,,,
1,0,0.9339498018494056,0.008090973,16,16,0.009635935,[1],1,16,0.8396666125695768,1,9084,mDiffFit,149146-dc284,pposs2ukstu_blue_001_004_area.fits,2,mProject,,,21500.42845690462,36.88487819126158,4818.415358,5.667179516,,,,
0,0,3.1492204899777283,0.008090973,16,16,0.005191366,[1],1,16,1.5585441096602752,1,2694,mDiffFit,149146-dc284,1-diff.000004.000008.fits,2,mProject,,,1444.128943414462,1.8310745949074072,4821.553942285927,5.667179516,,,,
1,0,0.9339498018494056,0.008090973,16,16,0.009635935,[1],1,16,0.8396666125695768,1,9084,mDiffFit,149146-dc284,pposs2ukstu_blue_002_004.fits,2,mProject,,,21500.42845690462,36.88487819126158,4818.415358,5.667179516,,,,
1,0,0.9339498018494056,0.008090973,16,16,0.009635935,[1],1,16,0.8396666125695768,1,9084,mDiffFit,149146-dc284,pposs2ukstu_blue_001_004.fits,2,mProject,,,21500.42845690462,36.88487819126158,4818.415358,5.667179516,,,,
1,0,477.4,0.004552841,16,16,4.419e-05,[1],1,16,103.02876638432761,1,10,mDiffFit,149592-dc284,pposs2ukstu_blue_004_002_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.419e-05,[1],1,16,103.02876638432761,1,10,mDiffFit,149592-dc284,pposs2ukstu_blue_002_004.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.419e-05,[1],1,16,103.02876638432761,1,10,mDiffFit,149592-dc284,pposs2ukstu_blue_002_004_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.419e-05,[1],1,16,103.02876638432761,1,10,mDiffFit,149592-dc284,pposs2ukstu_blue_004_002.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.419e-05,[1],1,16,103.02876638432761,1,10,mDiffFit,149592-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,1,8.485288424312815,0.041804314,16,16,0.022360622,[1],1,16,1.869550572,1,5166,mDiffFit,153665-dc284,1-corrections.tbl,2,mBgModel,,,21570.083129935247,36.88487819126158,4829.120739981778,5.667179516,,,,
1,1,8.485288424312815,0.041804314,16,16,0.022360622,[1],1,16,1.869550572,1,5166,mDiffFit,153665-dc284,1-projected.tbl,2,initial_data,,,21570.083129935247,36.88487819126158,4829.120739981778,5.667179516,,,,
0,0,4.241823108186568,0.041804314,16,16,0.042726408,[1],1,16,0.978418632,1,10334,mDiffFit,153665-dc284,cposs2ukstu_blue_004_003.fits,2,mProject,,,1444.629207996398,1.8310745949074072,4823.108620053176,5.667179516,,,,
1,0,8.485288424312815,0.041804314,16,16,0.022360622,[1],1,16,1.869550572,1,5166,mDiffFit,153665-dc284,pposs2ukstu_blue_004_003.fits,2,mProject,,,21570.083129935247,36.88487819126158,4829.120739981778,5.667179516,,,,
0,0,4.241823108186568,0.041804314,16,16,0.042726408,[1],1,16,0.978418632,1,10334,mDiffFit,153665-dc284,cposs2ukstu_blue_004_003_area.fits,2,mProject,,,1444.629207996398,1.8310745949074072,4823.108620053176,5.667179516,,,,
1,0,8.485288424312815,0.041804314,16,16,0.022360622,[1],1,16,1.869550572,1,5166,mDiffFit,153665-dc284,pposs2ukstu_blue_004_003_area.fits,2,mProject,,,21570.083129935247,36.88487819126158,4829.120739981778,5.667179516,,,,
1,0,477.4,0.004552841,16,16,4.2769e-05,[1],1,16,106.45189708722292,1,10,mDiffFit,149398-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.2769e-05,[1],1,16,106.45189708722292,1,10,mDiffFit,149398-dc284,pposs2ukstu_blue_004_001.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.2769e-05,[1],1,16,106.45189708722292,1,10,mDiffFit,149398-dc284,pposs2ukstu_blue_004_001_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.2769e-05,[1],1,16,106.45189708722292,1,10,mDiffFit,149398-dc284,pposs2ukstu_blue_002_002_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.2769e-05,[1],1,16,106.45189708722292,1,10,mDiffFit,149398-dc284,pposs2ukstu_blue_002_002.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.1629e-05,[1],1,16,109.3670562954536,1,10,mDiffFit,149685-dc284,pposs2ukstu_blue_004_004_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.1629e-05,[1],1,16,109.3670562954536,1,10,mDiffFit,149685-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.1629e-05,[1],1,16,109.3670562954536,1,10,mDiffFit,149685-dc284,pposs2ukstu_blue_004_004.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.1629e-05,[1],1,16,109.3670562954536,1,10,mDiffFit,149685-dc284,pposs2ukstu_blue_003_001_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.1629e-05,[1],1,16,109.3670562954536,1,10,mDiffFit,149685-dc284,pposs2ukstu_blue_003_001.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,0.8579229446860147,0.008090973,16,16,0.013034328,[1],1,16,0.6207433862636129,1,9889,mDiffFit,149736-dc284,pposs2ukstu_blue_004_003_area.fits,2,mProject,,,21499.727396563187,36.88487819126158,4818.307643657763,5.667179516,,,,
0,0,3.1329394387001477,0.008090973,16,16,0.005131452,[1],1,16,1.5767414175150865,1,2708,mDiffFit,149736-dc284,1-diff.000010.000015_area.fits,2,mProject,,,1444.1214904596188,1.8310745949074072,4821.5308753758545,5.667179516,,,,
0,0,3.1329394387001477,0.008090973,16,16,0.005131452,[1],1,16,1.5767414175150865,1,2708,mDiffFit,149736-dc284,1-diff.000010.000015.fits,2,mProject,,,1444.1214904596188,1.8310745949074072,4821.5308753758545,5.667179516,,,,
1,0,0.8579229446860147,0.008090973,16,16,0.013034328,[1],1,16,0.6207433862636129,1,9889,mDiffFit,149736-dc284,pposs2ukstu_blue_003_002_area.fits,2,mProject,,,21499.727396563187,36.88487819126158,4818.307643657763,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,1-diff.000009.000013_area.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.8593132786387117,0.008090973,16,16,0.012267582,[1],1,16,0.6595409674368286,1,9873,mDiffFit,149661-dc284,1-diff.000009.000014.fits,2,mProject,,,21499.74021713781,36.88487819126158,4818.309613475787,5.667179516,,,,
1,0,0.8579229446860147,0.008090973,16,16,0.013034328,[1],1,16,0.6207433862636129,1,9889,mDiffFit,149736-dc284,region-oversized.hdr,2,mProject,,,21499.727396563187,36.88487819126158,4818.307643657763,5.667179516,,,,
1,0,0.8579229446860147,0.008090973,16,16,0.013034328,[1],1,16,0.6207433862636129,1,9889,mDiffFit,149736-dc284,pposs2ukstu_blue_003_002.fits,2,mProject,,,21499.727396563187,36.88487819126158,4818.307643657763,5.667179516,,,,
1,0,0.8579229446860147,0.008090973,16,16,0.013034328,[1],1,16,0.6207433862636129,1,9889,mDiffFit,149736-dc284,pposs2ukstu_blue_004_003.fits,2,mProject,,,21499.727396563187,36.88487819126158,4818.307643657763,5.667179516,,,,
1,0,0.23642849180693346,0.008090973,16,16,0.039172491,[1],1,16,0.20654731659497033,1,35884,mDiffFit,149471-dc284,pposs2ukstu_blue_002_003.fits,2,mProject,,,21493.99645976544,36.88487819126158,4817.427113499671,5.667179516,,,,
