operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_12p,estimated_ts_slope_ssd_12p,estimated_trMiB_beegfs_12p,estimated_ts_slope_beegfs_12p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,1,776.3834196891191,0.2858009338378906,48,48,0.011130554,[4],4,12,25.67715262312106,1,386,run_gettracks,190069-dc001,tracknumbers_20160801.0000_20160802.2300.nc,2,run_tracksingle,,,2096.372977,0.7420660621761658,7219.234233609891,0.7420660621761658,,,,
0,1,776.3834196891191,0.2858009338378906,48,48,0.011130554,[4],4,12,25.67715262312106,1,386,run_gettracks,190069-dc001,track_20160801_011500.nc,2,run_tracksingle,,,2096.372977,0.7420660621761658,7219.234233609891,0.7420660621761658,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160802_091500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160802_041500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160802_141500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160802_221500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160801_211500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160801_201500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160801_171500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160801_191500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160802_111500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160801_041500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160802_161500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160802_091500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160802_211500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160802_191500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160801_131500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,track_20160801_011500.nc,2,run_tracksingle,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
1,1,563.8120332835502,5.040334701538086,48,48,1.772458597,[4],4,12,2.843696721643697,1,9374,run_gettracks,190069-dc001,cloudid_20160802_031500.nc,2,initial_data,,,42561.52428,0.5206375346703649,6813.945997416415,0.5206375346703649,,,,
