operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,[1],,,277.58957772996246,1,7172,openmm,190075-dlt02,stage0000_task0000.h5,0,,,,1515.4431693209958,0.013801320819390192,2759.1474238805495,0.013801320819390192
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,[1],,,277.58957772996246,1,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0,,,,1515.4431693209958,0.013801320819390192,2759.1474238805495,0.013801320819390192
0,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,[1],,,298.2343912799693,1,7168,openmm,74814-dlt06,stage0000_task0011.dcd,0,,,,1515.3415992873506,0.013064974830264106,2759.0471192366563,0.013064974830264106
0,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,[1],,,298.2343912799693,1,7168,openmm,74814-dlt06,stage0000_task0011.h5,0,,,,1515.3415992873506,0.013064974830264106,2759.0471192366563,0.013064974830264106
0,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,[1],,,282.324147,1,7170,openmm,170278-dlt04,stage0000_task0004.dcd,0,,,,1515.4566400756325,0.013898150569502535,2759.160612390969,0.013898150569502535
0,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,[1],,,282.324147,1,7170,openmm,170278-dlt04,stage0000_task0004.h5,0,,,,1515.4566400756325,0.013898150569502535,2759.160612390969,0.013898150569502535
0,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,[1],,,285.3409965343609,1,7161,openmm,143676-dlt05,stage0000_task0006.dcd,0,,,,1515.208602293658,0.012100228960107984,2758.9157010047543,0.012100228960107984
0,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,[1],,,285.3409965343609,1,7161,openmm,143676-dlt05,stage0000_task0006.h5,0,,,,1515.208602293658,0.012100228960107984,2758.9157010047543,0.012100228960107984
0,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,[1],,,298.4519493102118,1,7166,openmm,143674-dlt05,stage0000_task0007.dcd,0,,,,1515.3036269022964,0.012789525479114308,2759.0095973657976,0.012789525479114308
0,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,[1],,,298.4519493102118,1,7166,openmm,143674-dlt05,stage0000_task0007.h5,0,,,,1515.3036269022964,0.012789525479114308,2759.0095973657976,0.012789525479114308
0,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,[1],,,300.78081428546005,1,7165,openmm,74812-dlt06,stage0000_task0010.dcd,0,,,,1515.284633,0.012651743137939079,2758.9908285761358,0.012651743137939079
0,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,[1],,,300.78081428546005,1,7165,openmm,74812-dlt06,stage0000_task0010.h5,0,,,,1515.284633,0.012651743137939079,2758.9908285761358,0.012651743137939079
0,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,[1],,,289.6022193295112,1,7170,openmm,170276-dlt04,stage0000_task0005.dcd,0,,,,1515.4566400756325,0.013898150569502535,2759.160612390969,0.013898150569502535
0,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,[1],,,289.6022193295112,1,7170,openmm,170276-dlt04,stage0000_task0005.h5,0,,,,1515.4566400756325,0.013898150569502535,2759.160612390969,0.013898150569502535
0,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,[1],,,290.6438144561665,1,7169,openmm,74813-dlt06,stage0000_task0009.dcd,0,,,,1515.3605774620348,0.013202642,2759.065872322236,0.013202642
0,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,[1],,,290.6438144561665,1,7169,openmm,74813-dlt06,stage0000_task0009.h5,0,,,,1515.3605774620348,0.013202642,2759.065872322236,0.013202642
0,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,[1],,,274.9056993439718,1,7172,openmm,170277-dlt04,stage0000_task0003.dcd,0,,,,1515.417479941546,0.013615412658021908,2759.122100205841,0.013615412658021908
